Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus epidermidis GeneID SEA1545		-	635622.26	18.115000000000002	1	1	71119
Staphylococcus aureus GENE thyA		-	532681.96	15.181000000000001	0.96374	0.96374	131931
Staphylococcus aureus GENE blaI		-	487115.41	13.883000000000001	0.920635	0.920635	48215
Staphylococcus aureus GENE blaZ		-	401250.22	11.434999999999999	0.719222	0.719222	91113
Staphylococcus aureus GI 33390920		-	381856.73	10.883	0.917197	0.917197	32640
Staphylococcus aureus GENE dfrA		-	324350.88	9.244	0.656652	0.656652	40313
Staphylococcus aureus GENE blaR1		-	320667.84	9.139	0.470325	0.470325	135434
Staphylococcus aureus GI 33390919		-	117662.81	3.3529999999999998	0.603015	0.590909	12663
Bacteroides vulgatus GI 33413459		-	36335.66	1.036	1	1	2276
Bacteroides fragilis GENE tetQ		-	25187.92	0.718	0.977465	0.977465	8482
Parabacteroides distasonis GI 32395281		-	23865.83	0.6799999999999999	1	1	448
Bacteroides fragilis GENE rteA		-	21468.25	0.612	0.984427	0.984427	8507
Parabacteroides distasonis GI 32395282		-	17664.59	0.503	0.826087	0.826087	1085
Bacteroides fragilis GI 46242808		-	14419.71	0.411	0.903704	0.903704	1133
Bacteroides fragilis GENE bmhA		-	13551.57	0.386	0.961864	0.961864	4734
Bacteroides fragilis GENE mobA		-	13318.99	0.38	0.885906	0.885906	1120
Bacteroides fragilis GI 46242810		-	11482.27	0.327	1	1	600
Bacteroides fragilis GI 46242807		-	11177.26	0.319	0.922921	0.922921	2170
Bacteroides fragilis GI 46242811		-	11133.01	0.317	0.864865	0.864865	525
Bacteroides fragilis GENE mobB		-	10765.45	0.307	0.922892	0.922892	1791
Bacteroides fragilis GENE mobC		-	10661.98	0.304	0.943791	0.943791	2738
Bacteroides fragilis GENE rteB		-	10017.74	0.28600000000000003	0.918502	0.918502	1707
Bacteroides fragilis GI 46242797		-	9772.52	0.27899999999999997	0.995772	0.995772	1539
Bacteroides fragilis GENE exc		-	9179.65	0.262	0.730201	0.730201	2644
Bacteroides fragilis GI 46242799		-	9157.79	0.261	0.894118	0.894118	731
Bacteroides fragilis GENE rteC		-	8874.18	0.253	1	1	688
Bacteroides fragilis GENE int		-	8137.89	0.232	0.655172	0.655172	1326
Staphylococcus aureus GENE AACA-APHD		-	7974.45	0.22699999999999998	0.876761	0.876761	1371
Bacteroides fragilis GENE rhuM		-	7949.71	0.22699999999999998	1	1	346
Bacteroides fragilis GI 46242805		-	6385.36	0.182	0.963158	0.963158	351
Bacteroides fragilis GI 46242796		-	5227.88	0.149	0.577689	0.577689	1974
Bacteroides fragilis GI 46242809		-	3913.38	0.11199999999999999	0.719008	0.719008	144
