Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Flavobacteriaceae	49546	30.92	393165	330156
Alkalibacillaceae	186817	28.74	297351	306878
Streptococcaceae	1300	16.689999999999998	144339	178211
Mycobacteriaceae	1762	14.540000000000001	158350	155255
Staphylococcaceae	90964	2.6199999999999997	24682	27975
Peptoniphilaceae	1570339	1.9700000000000002	14636	21036
Actinomycetaceae	2049	1.2800000000000002	10863	13669
Lactobacillaceae	33958	0.53	2786	5659
Atopobiaceae	1643824	0.5	2938	5339
Veillonellaceae	31977	0.49	3914	5232
Propionibacteriaceae	31957	0.43999999999999995	4057	4699
Bacteroidaceae	815	0.28	3267	2989
Bifidobacteriaceae	31953	0.26	1736	2776
Mycoplasmoidaceae	2790998	0.22	781	2349
Aerococcaceae	186827	0.17	1122	1815
Dermabacteraceae	85020	0.13	1279	1388
Akkermansiaceae	1647988	0.08	1120	854
Lachnospiraceae	186803	0.04	555	428
Gemellaceae	1385	0.02	103	214
Burkholderiaceae	119060	0.02	452	214
Dialisteraceae	31977	0.02	103	214
Methanobacteriaceae	2159	0.02	175	214
