Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Imtechella	1165076	30.92	393165	330156
Allobacillus	1400133	28.74	297351	306878
Streptococcus	1301	16.689999999999998	144339	178211
Corynebacterium	1716	14.540000000000001	158350	155255
Staphylococcus	1279	2.6199999999999997	24682	27975
Finegoldia	150022	1.18	8727	12600
Actinobaculum	76833	0.65	5354	6941
Lactobacillus	1578	0.53	2786	5659
Atopobium	1380	0.5	2938	5339
Veillonella	29465	0.49	3914	5232
Peptoniphilus_A	162289	0.36	2720	3844
Varibaculum	184869	0.33	2743	3524
Prevotella	838	0.28	3267	2989
Bifidobacterium	1678	0.26	1736	2776
Propionimicrobium	203133	0.24	2013	2563
Ureaplasma	2129	0.22	781	2349
Cutibacterium	1912216	0.2	2044	2136
Peptoniphilus_C	162289	0.19	1383	2029
Winkia	2692118	0.18	1592	1922
Aerococcus	1375	0.17	1122	1815
Dermabacter	36739	0.13	1279	1388
Anaerococcus	165779	0.12000000000000001	934	1282
Ezakiella	1582879	0.09	681	961
Pauljensenia	2740557	0.08	731	855
Akkermansia	239934	0.08	1120	854
Parvimonas	543311	0.03	191	320
Actinotignum	1653174	0.03	308	320
Gemella	1378	0.02	103	214
Anaerostipes	207244	0.02	185	214
Blautia_A	572511	0.02	370	214
Ralstonia	48736	0.02	452	214
Dialister	39948	0.02	103	214
Actinomyces	1654	0.01	135	107
Methanobrevibacter_A	2172	0.01	103	107
Methanosphaera	2316	0.01	72	107
