Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillus crispatus GCA_016767795.1	47770	89.62	6538672	6533313
Lactobacillus jensenii GCA_008726555.1	109790	3.5000000000000004	199106	255151
Imtechella halotolerans GCA_000260835.1	946077	2.2	229289	160380
Allobacillus halotolerans GCA_007559355.1	1955271	2.02	171225	147258
Bifidobacterium leopoldii GCA_013315195.1	2702	1.41	70977	102789
Limosilactobacillus portuensis GCA_902362445.1	2702	0.79	50613	57591
Bifidobacterium swidsinskii GCA_013315145.1	2702	0.22999999999999998	12401	16767
Limosilactobacillus vaginalis GCA_002553995.1	2042042	0.08	4682	5832
Allobacillus salarius GCA_007559425.1	1955272	0.07	5972	5103
Bifidobacterium adolescentis	1680	0.02	1380	1458
Collinsella aerofaciens_I GCA_005845035.1	74426	0.02	1860	1458
Holdemanella porci_A GCA_019052655.1	2652276	0.01	540	729
Ralstonia pickettii_B GCA_000372665.1	1264675	0.01	1320	729
Bradyrhizobium sp003020075 GCA_003020075.1	2133945	0.01	1980	729
