Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Actinomycetales	2037	79.00999999999999	3044490	3115939
Lactobacillales	186826	11.45	354483	451556
Mycobacteriales	85010	4.6899999999999995	208721	184960
Rhizobiales	356	1.3500000000000003	182624	53238
Bacillales_D	1385	1.06	44360	41803
Flavobacteriales	200644	1.03	52700	40620
Tissierellales	1737405	0.6200000000000001	18452	24450
Bacteroidales	171549	0.22	10149	8676
Staphylococcales	1385	0.19	7013	7493
Veillonellales	1843489	0.12	2850	4732
Burkholderiales	80840	0.1	9831	3943
Propionibacteriales	85009	0.06	2277	2366
Coriobacteriales	84999	0.03	1028	1183
Pseudomonadales	72274	0.03	3132	1183
Deinococcales	118964	0.03	1412	1183
Peptostreptococcales	186802	0.01	205	394
