Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacterium longum	216816	67.39	2617248	2657678
Streptococcus anginosus	1328	11.25	348157	443669
Actinotignum timonense	1870995	7.2700000000000005	273713	286709
Corynebacterium pyruviciproducens	598660	4.44	197823	175101
Winkia sp002849225	29318	3.44	124045	135664
Allobacillus halotolerans	570278	1.03	43126	40620
Imtechella halotolerans	1165090	1.03	52700	40620
Bradyrhizobium sp003020075	2057741	0.6	75078	23662
Actinotignum schaalii	59505	0.4	14025	15775
Finegoldia magna_H	1260	0.4	11747	15775
Scardovia wiggsiae	230143	0.24	6317	9465
Bradyrhizobium viridifuturi	1654716	0.22	32113	8676
Staphylococcus haemolyticus	1283	0.18	6705	7099
Corynebacterium glucuronolyticum	39791	0.17	7789	6704
Actinotignum sanguinis	1445614	0.16	5375	6310
Bradyrhizobium sp002532045	2057741	0.14	19286	5521
Bradyrhizobium elkanii	29448	0.1	13818	3944
Bradyrhizobium pachyrhizi	280333	0.1	15860	3944
Peptoniphilus_A harei_A	54005	0.1	3044	3944
Aerococcus urinae_B	1376	0.09	2760	3549
Bradyrhizobium septentrionale	1404411	0.09	14608	3549
Dialister micraerophilus	309120	0.09	1823	3549
Aerococcus urinae_D	1376	0.08	2747	3155
Prevotella buccalis	28127	0.07	3655	2761
Varibaculum cambriense	184870	0.06	1853	2366
Corynebacterium tuberculostearicum	38304	0.06	2529	2366
Prevotella sp900547085	838	0.06	2196	2366
Comamonas tsuruhatensis	80866	0.06	6674	2366
Finegoldia magna	1260	0.06	1698	2366
Propionimicrobium lymphophilum	33012	0.04	1353	1577
Ralstonia pickettii_B	329	0.04	3157	1577
Facklamia hominis	178214	0.03	819	1183
Allobacillus salarius	1955272	0.03	1234	1183
Prevotella timonensis	386414	0.03	1494	1183
Prevotella sp000479005	28127	0.03	1211	1183
Pseudomonas_E antarctica_A	219572	0.03	3132	1183
Bradyrhizobium ivorense	2511166	0.03	4675	1183
Peptoniphilus_A grossensis	1465756	0.03	1042	1183
Veillonella parvula_A	29466	0.03	1027	1183
Meiothermus_B silvanus	52022	0.03	1412	1183
Varibaculum massiliense	1852372	0.02	917	789
Varibaculum cambriense_A	184870	0.02	612	789
Lawsonella clevelandensis	1528099	0.02	580	789
Cutibacterium avidum	33010	0.02	924	789
Olegusella massiliensis	1776381	0.02	540	789
Porphyromonas_A sp001808555	1739394	0.02	821	789
Methylobacterium thiocyanatum	223967	0.02	1643	789
Staphylococcus epidermidis	1282	0.01	308	394
Dermabacter hominis	36740	0.01	385	394
Slackia exigua	84109	0.01	488	394
Prevotella timonensis_A	386414	0.01	772	394
Bradyrhizobium japonicum_C	375	0.01	1543	394
Bradyrhizobium sp000938305	722472	0.01	1552	394
Afipia sp001425835	1736436	0.01	677	394
Agrobacterium oryzihabitans	357	0.01	1181	394
Phyllobacterium_u_s	28100	0.01	590	394
Peptoniphilus_A vaginalis	54005	0.01	332	394
Peptoniphilus_A lacrimalis	33031	0.01	332	394
Anaerococcus vaginimassiliensis	2042308	0.01	257	394
Mogibacterium timidum	35519	0.01	205	394
